run_utc,run_id,benchmark,workload,config_id,repeat_index,inner_iters,runtime_s,energy_j,energy_j_counter,avg_power_w,peak_power_w,min_power_w,n_power_samples,n_failed_power_samples,power_duration_s,below_30s_floor,idle_pre_context_avg_w,idle_pre_context_min_w,idle_pre_context_peak_w,idle_pre_context_duration_s,idle_pre_context_n_samples,idle_post_context_avg_w,idle_post_context_min_w,idle_post_context_peak_w,idle_post_context_duration_s,idle_post_context_n_samples,idle_skip_reason,work_hash,work_hash_kind,power_window,gpu_model_observed,gpu_uuid,node_name,driver_version,hardware_source,precision,allow_tf32_matmul,allow_tf32_cudnn,image_ref,git_commit,power_trace_path,exclusion_reason
2026-08-23T10:21:10+00:00,20260823T102110Z-matmul-r1-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,1,2000,277.04275301704183,63965.84615478446,63993.119,230.9567937685461,287.459,188.341,1348,0,277.04892587207723,False,9.703050847457625,9.129,15.559,59.97149097500369,295,25.369172297297293,9.129,58.012,59.95914498704951,296,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce GTX 1080 Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,k8s-gpu-1.ucsc.edu,580.178.04,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T102110Z-matmul-r1-p57_power.csv,
2026-08-23T10:26:04+00:00,20260823T102604Z-matmul-r2-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,2,2000,287.6066298279911,63690.43236973727,63729.626,221.4334446823699,280.729,187.969,1401,0,287.613908952917,False,9.703050847457625,9.129,15.559,59.97149097500369,295,25.369172297297293,9.129,58.012,59.95914498704951,296,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce GTX 1080 Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,k8s-gpu-1.ucsc.edu,580.178.04,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T102604Z-matmul-r2-p57_power.csv,
2026-08-23T10:30:56+00:00,20260823T103056Z-matmul-r3-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,3,2000,285.3621105229249,63782.94652028892,63835.175,223.5131359712235,281.93,178.518,1390,0,285.3715435269987,False,9.703050847457625,9.129,15.559,59.97149097500369,295,25.369172297297293,9.129,58.012,59.95914498704951,296,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce GTX 1080 Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,k8s-gpu-1.ucsc.edu,580.178.04,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T103056Z-matmul-r3-p57_power.csv,
2026-08-23T10:35:29+00:00,20260823T103528Z-matmul-r1-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,1,2000,203.2018047121819,35334.04990795826,33457.998,173.88958876629925,178.718,171.298,997,0,203.20473865699023,False,5.9716735395189025,4.375,7.93,59.99309754604474,291,19.83264726027398,5.437,52.598,59.89201564597897,292,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce RTX 2080 Ti,GPU-1b9d9ca0-6745-6218-37cb-6ca80fc2d761,k8s-haosu-18.sdsc.optiputer.net,595.91.07,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T103528Z-matmul-r1-p57_power.csv,
2026-08-23T10:35:47+00:00,20260823T103547Z-matmul-r4-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,4,2000,284.8783194649732,63750.28428425612,63795.651,223.7825418470419,278.619,195.029,1386,0,284.88505296909716,False,9.703050847457625,9.129,15.559,59.97149097500369,295,25.369172297297293,9.129,58.012,59.95914498704951,296,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce GTX 1080 Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,k8s-gpu-1.ucsc.edu,580.178.04,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T103547Z-matmul-r4-p57_power.csv,
2026-08-23T10:38:59+00:00,20260823T103859Z-matmul-r2-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,2,2000,205.98291351483203,35677.44757940239,33745.581,173.20287920792086,176.424,170.45,1010,0,205.98931228998117,False,5.9716735395189025,4.375,7.93,59.99309754604474,291,19.83264726027398,5.437,52.598,59.89201564597897,292,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce RTX 2080 Ti,GPU-1b9d9ca0-6745-6218-37cb-6ca80fc2d761,k8s-haosu-18.sdsc.optiputer.net,595.91.07,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T103859Z-matmul-r2-p57_power.csv,
2026-08-23T10:40:48+00:00,20260823T104048Z-matmul-r5-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,5,2000,293.7681274849456,63709.045286174885,63696.77,216.7651911554921,281.353,186.188,1402,0,293.7700210569892,False,9.703050847457625,9.129,15.559,59.97149097500369,295,25.369172297297293,9.129,58.012,59.95914498704951,296,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce GTX 1080 Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,k8s-gpu-1.ucsc.edu,580.178.04,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T104048Z-matmul-r5-p57_power.csv,
2026-08-23T10:42:30+00:00,20260823T104230Z-matmul-r3-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,3,2000,206.46416650689207,35764.17443577142,33810.79,173.21866106719386,175.824,170.544,1012,0,206.46733086300083,False,5.9716735395189025,4.375,7.93,59.99309754604474,291,19.83264726027398,5.437,52.598,59.89201564597897,292,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce RTX 2080 Ti,GPU-1b9d9ca0-6745-6218-37cb-6ca80fc2d761,k8s-haosu-18.sdsc.optiputer.net,595.91.07,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T104230Z-matmul-r3-p57_power.csv,
2026-08-23T10:46:02+00:00,20260823T104602Z-matmul-r4-p57,matmul,matmul,matmul|n8192|fp32|i2000|s20260818,4,2000,206.34548272495158,35723.74520016606,33786.936,173.13073418972323,176.555,170.463,1012,0,206.34852053993382,False,5.9716735395189025,4.375,7.93,59.99309754604474,291,19.83264726027398,5.437,52.598,59.89201564597897,292,,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,config,region,NVIDIA GeForce RTX 2080 Ti,GPU-1b9d9ca0-6745-6218-37cb-6ca80fc2d761,k8s-haosu-18.sdsc.optiputer.net,595.91.07,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,matmul/20260823T104602Z-matmul-r4-p57_power.csv,
2026-08-23T10:46:19+00:00,20260823T104619Z-resnet_train-r1-p78,resnet_train,resnet_train,resnet50|cifar10|fp32|b32|n1000|s20260818,1,1000,197.26925317198038,43722.668182793,44046.9,221.7963479623825,330.234,119.32,957,0,197.27860580105335,False,17.084423728813558,9.716,73.411,59.96050078806002,295,25.763579661016966,9.372,58.614,59.92676659801509,295,,acae053eda706ed0b799e385cda9f5c959881aad3d0e1171c0085f40c10f6bde,config,region,NVIDIA GeForce GTX 1080 Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,k8s-gpu-1.ucsc.edu,580.178.04,pynvml,fp32,False,False,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,9f614f9d829b652abbe29c5c6602c2071f435a09,resnet_train/20260823T104619Z-resnet_train-r1-p78_power.csv,
