timestamp,power_w
6179886.065407453,113.732
6179886.305574083,111.76
6179886.507826828,111.469
6179886.711354529,111.275
6179886.91355094,111.167
6179887.115697132,110.744
6179887.317950812,110.67
6179887.520180691,101.295
6179887.72274302,75.298
6179887.925199566,74.783
6179888.127831029,74.059
6179888.330325278,74.137
6179888.532989636,74.041
6179888.735450144,73.936
6179888.937932536,73.677
6179889.14049677,73.387
6179889.34298417,73.039
6179889.54545179,72.791
6179889.748313874,72.569
6179889.950784074,72.57
6179890.153326027,72.436
6179890.413954052,71.895
6179890.617461755,111.244
6179890.820388253,175.022
6179891.022933627,179.096
6179891.225476429,176.987
6179891.427995206,179.675
6179891.630519477,185.752
6179891.833034415,188.303
6179892.035542248,189.249
6179892.237998268,178.955
6179892.440676156,179.06
6179892.643207476,187.151
6179892.845727871,181.039
6179893.049385553,170.482
6179893.2531236,188.85
6179893.455461709,180.421
6179893.657986465,180.515
6179893.860584323,169.243
6179894.063168176,183.333
6179894.265648866,181.859
6179894.468413912,176.591
6179894.671085637,170.677
6179894.873709418,184.838
6179895.07618259,189.615
6179895.278825635,184.327
6179895.481376699,179.525
6179895.687386442,172.008
6179895.890041062,179.559
6179896.092394554,181.421
6179896.294904003,172.359
6179896.497468151,172.318
6179896.699936375,190.639
6179896.902555241,171.567
6179897.105113852,172.856
6179897.307533363,193.611
6179897.509691188,176.587
6179897.712333148,166.198
6179897.914881385,200.823
6179898.117564469,176.941
6179898.320109005,168.867
6179898.522640022,193.729
6179898.725701219,183.361
6179898.928642025,172.401
6179899.131366029,162.927
6179899.334088434,201.101
6179899.536634278,182.856
6179899.739266179,171.163
6179899.941993871,161.451
6179900.14460145,206.513
6179900.35061403,190.593
6179900.553166938,160.352
6179900.755767047,190.693
6179900.958307665,192.937
6179901.160730343,169.349
6179901.363298982,159.615
6179901.569399572,180.147
6179901.771905148,200.554
6179901.974545817,181.189
6179902.177248799,160.046
6179902.380036235,180.682
6179902.582569963,206.66
6179902.785419864,186.967
6179902.98807224,167.262
6179903.191031765,172.924
6179903.393589419,207.947
6179903.596164009,186.762
6179903.798947029,165.232
6179904.005316582,159.033
6179904.207835335,211.435
6179904.41063798,188.833
6179904.613418532,168.781
6179904.816227001,162.072
6179905.018931963,215.998
6179905.221583273,192.722
6179905.424289953,169.777
6179905.626882832,157.306
6179905.829495704,180.143
6179906.032117728,173.114
6179906.234900757,159.659
6179906.437565905,208.847
6179906.643207271,193.964
6179906.847879707,171.657
6179907.050757397,153.862
6179907.25336524,208.979
6179907.456029368,192.922
6179907.65882768,170.396
6179907.861737055,155.908
6179908.06442904,210.349
6179908.267189363,194.419
6179908.469969009,173.607
6179908.672795078,161.779
6179908.879303486,155.732
6179909.082975706,215.463
6179909.287170117,206.665
6179909.490421867,175.146
6179909.693350191,156.89
6179909.896168239,159.731
6179910.099100853,215.919
6179910.301830163,203.049
6179910.504513593,166.077
6179910.70730725,156.911
6179910.913388311,218.97
6179911.116094339,200.439
6179911.320154457,180.959
6179911.523055502,159.203
6179911.726397892,159.409
6179911.929455592,223.483
6179912.13199086,199.776
6179912.334596352,173.582
6179912.537474617,158.307
6179912.74048314,158.973
6179912.943767201,228.499
6179913.146414507,206.75
6179913.349223915,187.515
6179913.552503581,156.405
6179913.75521627,157.752
6179913.95825527,179.376
6179914.161193212,156.64
6179914.363787761,145.616
6179914.566560391,182.745
6179914.769113842,166.169
6179914.971744406,162.604
6179915.174308472,156.17
6179915.376872779,185.637
6179915.579364873,171.734
6179915.781982235,163.83
6179915.984606824,156.438
6179916.190342926,186.571
6179916.392817011,172.891
6179916.59545255,162.638
6179916.799344029,153.718
6179917.001959777,189.033
6179917.204479861,173.776
6179917.407055652,162.899
6179917.609558498,161.683
6179917.812195157,185.61
6179918.014721249,172.986
6179918.217284702,157.735
6179918.419906418,177.604
6179918.622396641,177.604
6179918.824898254,165.168
6179919.029292477,180.512
6179919.231809892,182.47
6179919.434347826,169.317
6179919.636723304,162.3
6179919.839556722,175.386
6179920.042099733,191.683
6179920.244612448,171.949
6179920.447349198,170.113
6179920.649836592,191.859
6179920.852366965,177.26
6179921.054996321,165.029
6179921.257723419,162.736
6179921.460245116,194.846
6179921.662799247,176.967
6179921.865661756,162.572
6179922.07043557,154.077
6179922.272982404,203.216
6179922.475655231,183.542
6179922.678471388,163.699
6179922.881301895,151.45
6179923.083891638,206.206
6179923.286694087,189.896
6179923.489286788,167.129
6179923.692035583,156.755
6179923.894604836,209.207
6179924.097701935,184.822
6179924.300557792,153.768
6179924.503078378,207.14
6179924.708201214,192.364
6179924.911038671,171.108
6179925.113879274,153.379
6179925.316232998,192.634
6179925.518734336,181.881
6179925.72122961,160.251
6179925.923791709,174.878
6179926.126311319,195.981
6179926.328845321,181.168
6179926.53143233,160.704
6179926.734141841,174.182
6179926.936664016,208.563
6179927.139259961,184.135
6179927.341951715,159.647
6179927.544364601,163.631
6179927.746917096,204.162
6179927.953305406,184.933
6179928.156559197,173.111
6179928.360756163,158.621
6179928.563760591,151.763
6179928.766363099,219.634
6179928.969047405,201.361
6179929.171649387,181.032
6179929.374471909,163.422
6179929.577293068,155.882
6179929.779998445,215.664
6179929.982672835,193.028
6179930.18531204,163.733
6179930.388104052,151.45
6179930.592788602,214.072
6179930.796206069,193.218
6179931.000955074,170.88
6179931.204121571,156.643
6179931.406966214,147.909
6179931.609572683,215.42
6179931.812277414,199.76
6179932.01500912,174.752
6179932.21772913,157.19
6179932.420647339,159.98
6179932.623589582,153.435
6179932.830222681,217.223
6179933.033607651,197.956
6179933.236228625,175.194
6179933.439029202,155.685
6179933.641765888,159.55
6179933.844657354,158.079
6179934.047581133,223.097
6179934.250298463,195.476
6179934.453131395,176.137
6179934.656155357,157.038
6179934.859059971,159.386
6179935.065228609,159.183
6179935.268224129,225.387
6179935.470793189,203.812
6179935.673457658,184.505
6179935.876333829,160.902
6179936.079703029,159.56
6179936.282553988,159.295
6179936.485284933,204.166
6179936.687948956,204.137
6179936.89065322,180.957
6179937.093729761,163.42
6179937.300076057,156.196
6179937.503014944,202.762
6179937.707394799,162.059
6179937.909991228,151.065
6179938.11260087,185.858
6179938.315068527,158.371
6179938.517616197,145.919
6179938.720256362,188.938
6179938.92273948,165.848
6179939.125251059,162.127
6179939.327902412,177.38
6179939.530421256,166.545
6179939.733126901,155.699
6179939.935674506,187.234
6179940.139823675,170.313
6179940.342319127,158.17
6179940.54492616,188.386
6179940.747457429,172.406
6179940.950514564,159.777
6179941.153145513,142.34
6179941.35583675,188.275
6179941.558322848,171.829
6179941.76092333,166.405
6179941.9634923,155.623
6179942.166140995,185.974
6179942.368646243,176.293
6179942.571260193,169.905
6179942.773762707,152.881
6179942.976312992,177.522
6179943.178740902,185.302
6179943.381260743,169.342
6179943.587045669,154.974
6179943.789868365,176.597
6179943.992375936,184.729
6179944.195013748,175.137
6179944.39766769,164.064
6179944.600393344,170.157
6179944.803104878,189.764
6179945.005731573,171.642
6179945.20845229,161.789
6179945.411116379,156.97
6179945.613675924,195.56
6179945.816267563,176.719
6179946.018851326,165.193
6179946.221414085,160.753
6179946.428086345,200.304
6179946.630713102,186.937
6179946.833386693,162.727
6179947.036201387,148.132
6179947.238783414,192.489
6179947.441333405,177.128
6179947.644058875,164.64
6179947.84674098,148.899
6179948.049274339,198.269
6179948.251955091,169.359
6179948.45457918,156.803
6179948.657143148,197.722
6179948.859777259,180.346
6179949.062397068,176.766
6179949.268096062,176.675
6179949.470846227,158.964
6179949.673382094,208.38
6179949.876114533,188.152
6179950.07903432,168.465
6179950.281763204,156.325
6179950.484330039,202.148
6179950.686964041,187.117
6179950.889644403,166.29
6179951.092441074,153.949
6179951.294927514,207.287
6179951.497571035,194.545
6179951.700352087,172.603
6179951.903228241,161.869
6179952.106730839,211.177
6179952.309560435,190.523
6179952.513994689,170.99
6179952.716904349,160.251
6179952.919749065,154.205
6179953.122371672,216.521
6179953.325069655,196.451
6179953.527781222,171.904
6179953.730536297,157.09
6179953.933275509,154.17
6179954.136120106,216.56
6179954.343513143,195.012
6179954.547432835,171.006
6179954.750330866,155.54
6179954.953192608,154.581
6179955.156099799,211.96
6179955.358888187,190.233
6179955.56148243,168.712
6179955.764278184,154.149
6179955.967120781,217.078
6179956.169769635,197.513
6179956.376431821,162.139
6179956.579549639,155.634
6179956.78246027,159.257
6179956.985474632,159.386
6179957.188467141,216.767
6179957.391122704,201.13
6179957.593817234,173.636
6179957.79669666,156.25
6179957.999697152,159.916
6179958.202725944,157.528
6179958.405588421,214.113
6179958.608213486,209.404
6179958.811417362,173.097
6179959.014413349,158.559
6179959.217185156,159.339
6179959.420005283,214.858
6179959.622776046,199.741
6179959.825456593,175.815
6179960.02837645,162.617
6179960.231169175,159.222
6179960.434073494,157.093
6179960.637386219,204.741
6179960.840671601,211.261
6179961.04350312,194.711
6179961.24630617,175.87
6179961.449030089,142.177
6179961.651785005,163.326
6179961.854388146,176.942
6179962.057038132,161.689
6179962.259699168,154.306
6179962.461959861,158.785
6179962.664400745,180.287
6179962.867083249,162.15
6179963.069752251,164.438
6179963.27222835,172.281
6179963.47497923,161.914
6179963.677504602,144.074
6179963.880266281,188.399
6179964.084420792,166.402
6179964.286898077,154.796
6179964.489723502,189.938
6179964.692190536,171.612
6179964.894824965,153.236
6179965.097852231,184.93
6179965.300385215,167.225
6179965.502990704,161.178
6179965.705552221,149.099
6179965.908183005,184.819
6179966.110832405,177.764
6179966.313503387,169.076
6179966.516017943,161.369
6179966.718605068,161.528
6179966.921186099,184.248
6179967.123649587,182.406
6179967.326084425,170.224
6179967.528633409,159.363
6179967.735211949,172.933
6179967.937741526,185.075
6179968.140350182,172.891
6179968.342991809,160.163
6179968.54557471,168.591
6179968.748050321,194.573
6179968.950706538,174.518
6179969.153435348,156.11
6179969.35607714,165.612
6179969.558577366,186.065
6179969.761123584,174.713
6179969.963809029,162.956
6179970.166575395,155.587
6179970.369045963,189.475
6179970.571662819,175.124
6179970.774267895,164.198
6179970.977819181,156.791
6179971.180260682,200.884
6179971.382783977,186.914
6179971.587047349,161.654
6179971.789768932,149.366
6179971.992212565,201.48
6179972.194770134,181.773
6179972.397434541,163.116
6179972.600288458,149.12
6179972.802756834,202.973
6179973.005366499,180.288
6179973.208156881,155.089
6179973.410950762,199.322
6179973.613624261,178.381
6179973.816359136,165.273
6179974.019181295,150.548
6179974.223202371,205.865
6179974.426684162,183.516
6179974.630520728,161.99
6179974.833252608,151.313
6179975.035845036,205.968
6179975.238506981,181.85
6179975.441205793,158.716
6179975.644200182,153.071
6179975.846786255,210.943
6179976.049459515,192.512
6179976.252184414,161.458
6179976.454939757,154.594
6179976.657753846,208.685
6179976.863694004,197.373
6179977.068027201,172.64
6179977.270803886,157.825
6179977.473593295,152.81
6179977.676403534,186.178
6179977.878960852,186.634
6179978.08171051,160.035
6179978.284444089,151.143
6179978.487173337,208.076
6179978.68984373,195.781
6179978.894221866,169.721
6179979.098282816,153.746
6179979.300995228,215.493
6179979.503696456,202.843
6179979.706347066,174.25
6179979.908691237,156.115
6179980.11151911,154.223
6179980.315707668,211.561
6179980.518340418,186.992
6179980.721137305,158.157
6179980.924073826,156.119
6179981.126985829,216.763
6179981.329794869,198.382
6179981.533032766,176.001
6179981.735985652,158.063
6179981.938946607,158.657
6179982.142021327,217.633
6179982.34457151,206.916
6179982.547262589,190.428
6179982.750123725,161.281
6179982.953057854,156.288
6179983.156035548,159.404
6179983.359136117,211.936
6179983.561672526,208.732
6179983.764496519,187.974
6179983.967568292,162.288
6179984.1719537,156.382
6179984.374994651,158.965
6179984.578124096,199.91
6179984.780880692,211.596
6179984.983554187,185.005
6179985.186538051,164.91
6179985.389439307,158.883
6179985.592141767,163.512
6179985.794626655,173.308
6179985.997201206,162.735
6179986.199865191,152.987
6179986.402512678,161.773
6179986.604920797,176.692
6179986.81076391,160.901
6179987.013425384,165.819
6179987.215929543,185.347
6179987.418565926,170.567
6179987.62123049,156.573
6179987.823875198,155.319
6179988.026407152,192.967
6179988.229033633,169.319
6179988.431830999,155.806
6179988.63432887,186.176
6179988.836933678,166.332
6179989.039469633,157.823
6179989.24218025,191.877
6179989.448198147,173.689
6179989.650905809,162.348
6179989.853621027,149.909
6179990.056057067,170.519
6179990.258858059,159.029
6179990.461341462,180.074
6179990.663811521,184.076
6179990.866288687,166.506
6179991.068695037,158.896
6179991.271184695,181.888
6179991.4736546,175.15
6179991.676093223,163.573
6179991.878691896,169.086
6179992.081232087,183.495
6179992.283725209,168.267
6179992.489603675,153.257
6179992.692193531,170.796
6179992.89468045,199.882
6179993.097294337,181.741
6179993.299914362,159.552
6179993.50253723,159.96
6179993.704998273,197.271
6179993.907539196,180.433
6179994.110231381,166.291
6179994.314899246,151.878
6179994.517477793,197.273
6179994.720032552,182.362
6179994.922629505,164.159
6179995.125262833,159.03
6179995.329021067,192.563
6179995.531865416,171.312
6179995.734931129,159.794
6179995.938904029,149.425
6179996.141387063,203.199
6179996.344045037,182.203
6179996.546791545,166.012
6179996.749414786,154.281
6179996.952030043,205.69
6179997.1546537,184.034
6179997.357350081,170.087
6179997.560049279,158.165
6179997.762679558,199.001
6179997.96891805,183.193
6179998.171926604,164.133
6179998.374675953,153.057
6179998.577370645,200.525
6179998.779983003,192.748
6179998.98264118,168.943
6179999.185238748,166.277
6179999.387916949,151.363
6179999.590681753,206.519
6179999.793443154,183.082
6179999.996043379,163.066
6180000.198783491,147.668
6180000.401512838,208.28
6180000.605769762,189.086
6180000.808384959,159.086
6180001.011117518,152.996
6180001.213922172,212.535
6180001.416523315,194.244
6180001.619201534,178.266
6180001.82199514,159.042
6180002.02483554,157.172
6180002.227749924,206.396
6180002.430395587,199.882
6180002.633319613,174.249
6180002.836287578,162.321
6180003.039175333,159.315
6180003.243542365,194.978
6180003.44620689,198.675
6180003.649121543,170.849
6180003.851752264,158.637
6180004.0544816,159.943
6180004.25752206,211.204
6180004.46014846,202.72
6180004.662910521,182.076
6180004.865673167,161.395
6180005.06842613,152.857
6180005.271149573,223.123
6180005.473866099,191.967
6180005.676703063,160.945
6180005.879527818,157.485
6180006.083891804,159.338
6180006.28718005,219.948
6180006.489826938,201.821
6180006.692700064,183.992
6180006.895540011,160.564
6180007.098597034,156.682
6180007.301587192,224.904
6180007.504301564,211.858
6180007.707162504,195.287
6180007.909924028,171.39
6180008.11288395,159.313
6180008.315740499,158.556
6180008.518725055,210.985
6180008.721767047,216.726
6180008.925863908,194.452
6180009.128710085,175.349
6180009.332580057,151.828
6180009.535226401,170.206
6180009.737763933,178.744
6180009.940455928,167.453
6180010.143198467,154.149
6180010.345823442,162.441
6180010.54829995,179.652
6180010.750881953,166.267
6180010.953506028,157.122
6180011.156294411,155.938
6180011.35869509,189.446
6180011.563982752,171.421
6180011.766603143,162.105
6180011.969277427,160.004
6180012.171730432,191.032
6180012.374325807,173.789
6180012.576839058,164.048
6180012.7794439,151.436
6180012.981865715,196.214
6180013.184491001,176.587
6180013.387176679,162.571
6180013.58981859,146.434
6180013.792248601,194.774
6180013.994779596,173.915
6180014.197462976,158.551
6180014.399937399,199.805
6180014.603279426,183.265
6180014.806853755,161.347
6180015.010521107,147.551
6180015.213060412,197.781
6180015.415335607,175.45
6180015.617975151,158.764
6180015.820521968,189.973
6180016.023065393,159.571
6180016.225678729,148.527
6180016.428224842,193.906
6180016.630850462,175.606
6180016.833445853,167.24
6180017.035978665,159.536
6180017.238464597,195.41
6180017.441132738,176.477
6180017.64369538,163.649
6180017.846417168,153.764
6180018.048912712,199.514
6180018.251525887,182.909
6180018.457646,163.32
6180018.660734928,163.041
6180018.863099838,209.539
6180019.065870583,181.246
6180019.26852845,161.686
6180019.471261867,149.949
6180019.673776989,209.569
6180019.876378999,188.974
6180020.07910993,161.022
6180020.28177387,145.054
6180020.484484956,204.953
6180020.687029234,189.27
6180020.889627291,163.749
6180021.096171461,153.064
