timestamp,power_w
6694194.257712291,1.234
6694194.463403353,1.053
6694194.668404969,1.604
6694194.873408775,1.611
6694195.079967353,0.927
6694195.296090763,0.568
6694195.501770445,0.584
6694195.708370687,0.521
6694195.914085907,0.697
6694196.120663153,0.465
6694196.326255666,0.459
6694196.531749465,0.486
6694196.737246177,0.491
6694196.94325839,0.676
6694197.14844104,0.476
6694197.354013211,0.482
6694197.55951179,0.483
6694197.765485028,0.486
6694197.971596243,0.612
6694198.177156771,0.514
6694198.396359319,0.493
6694198.602414973,0.508
6694198.808657004,0.498
6694199.013877491,2.635
6694199.223853875,45.514
6694199.451155874,44.379
6694199.653802087,46.993
6694199.856239296,80.516
6694200.060049108,144.899
6694200.263540163,248.623
6694200.466379485,237.088
6694200.669825929,276.049
6694200.872708248,237.177
6694201.076505414,293.067
6694201.280410316,254.818
6694201.483271999,239.595
6694201.687080383,258.389
6694201.890416685,240.137
6694202.092800889,274.617
6694202.296886349,260.37
6694202.499780481,242.688
6694202.704242842,262.745
6694202.91254131,238.613
6694203.116965786,261.948
6694203.321734513,242.296
6694203.524992143,272.006
6694203.727405856,252.402
6694203.930935011,239.552
6694204.134069651,266.64
6694204.338675251,245.687
6694204.542026262,270.584
6694204.74419509,253.597
6694204.947745708,239.61
6694205.150803439,264.466
6694205.35421414,242.763
6694205.55741373,271.133
6694205.759563595,257.474
6694205.963308869,242.231
6694206.166159798,262.325
6694206.369038273,239.597
6694206.572050649,275.495
6694206.774469432,258.345
6694206.977934191,245.221
6694207.180856083,261.899
6694207.388139675,239.082
6694207.592829431,274.767
6694207.798708713,257.855
6694208.00175107,243.827
6694208.204393362,262.444
6694208.407925624,239.16
6694208.611441263,273.275
6694208.815322708,251.192
6694209.04523111,230.723
6694209.248595738,258.233
6694209.450923871,234.916
6694209.654525062,265.749
6694209.858262816,235.341
6694210.061783816,271.982
6694210.264938339,254.284
6694210.470916745,244.972
6694210.673809444,259.647
6694210.877678852,234.938
6694211.083584577,276.131
6694211.286287408,249.336
6694211.489547755,254.973
6694211.692214164,260.149
6694211.896204018,235.455
6694212.099272027,262.941
6694212.302114015,243.554
6694212.505302195,267.814
6694212.708894358,252.226
6694212.913461009,236.657
