timestamp,power_w
291770.908167537,8.594
291771.123866449,8.403
291771.326134002,8.261
291771.528452522,8.69
291771.730845324,8.261
291771.934013551,8.351
291772.136262613,8.356
291772.338561628,8.791
291772.540880456,9.422
291772.743254611,8.403
291772.946166865,8.403
291773.147940971,8.403
291773.350232869,8.5
291773.552520137,8.933
291773.75482298,8.161
291773.957121077,8.258
291774.159333523,8.35
291774.361630893,8.36
291774.567523189,8.356
291774.769808634,8.356
291774.972170493,8.36
291775.174504862,8.358
291775.376819274,8.602
291775.57914474,8.506
291775.781470266,8.404
291775.988486061,8.261
291776.213447192,8.161
291776.415757781,8.162
291776.61806725,8.258
291776.820329444,8.593
291777.02484379,8.507
291777.227166701,8.356
291777.430822297,8.166
291777.633519223,8.597
291777.854091228,53.313
291778.067296838,53.56
291778.269233767,135.075
291778.471168895,142.869
291778.680221228,157.933
291778.891898002,194.809
291779.093879564,200.48
291779.29821747,125.802
291779.500136202,181.025
291779.702114425,211.737
291779.904115589,280.283
291780.12420637,278.298
291780.326199882,277.946
291780.528922709,290.422
291780.73087748,291.233
291780.932982933,311.232
291781.135077075,272.968
291781.337068983,246.01
291781.539053244,248.406
291781.741377535,244.673
291781.943472922,222.285
291782.14545484,205.291
291782.34742431,210.727
291782.549363909,155.993
291782.751308898,181.29
291782.953355961,203.414
291783.156040304,227.922
291783.358025646,268.619
291783.562534662,280.918
291783.764493311,270.178
291783.966526334,295.459
291784.171302476,298.221
291784.376163886,293.716
291784.578173408,299.699
291784.780139756,253.819
291784.985136225,255.05
291785.187172316,245.778
291785.389183431,242.679
291785.591197191,228.687
291785.793157051,214.49
291785.995155287,219.358
291786.198022667,183.662
291786.400018335,134.051
291786.601980986,166.518
291786.803979916,213.405
291787.006009668,219.337
291787.207986665,257.177
291787.409954109,270.439
291787.615744965,269.536
291787.818152828,276.943
291788.020115457,298.311
291788.222044929,301.004
291788.424205471,301.086
291788.626415528,305.508
291788.828561856,267.23
291789.030599823,251.813
291789.232577122,253.167
291789.434531482,223.947
291789.636508324,223.614
291789.838473478,215.245
291790.040430382,223.053
291790.242402397,212.534
291790.444346353,153.637
291790.64630697,172.043
291790.850791272,205.988
291791.052791102,224.662
291791.25479292,263.474
291791.460567489,267.982
291791.663379579,282.778
291791.865402276,299.85
291792.067396066,298.915
291792.26945795,296.333
291792.471469493,292.793
291792.673644931,252.907
291792.875664735,261.547
291793.077621072,224.103
291793.27959164,219.011
291793.4815819,206.35
291793.683542371,210.547
291793.894514438,148.373
291794.096464912,188.845
291794.298481575,217.577
291794.500526718,226.928
291794.702481963,261.123
291794.904427459,298.792
291795.106382878,283.779
291795.308326115,292.981
291795.514595869,285.731
291795.71657178,303.353
291795.918556723,197.821
291796.220594692,240.843
291796.431205842,282.042
291796.633172523,268.947
291796.835130728,273.613
291797.041196538,298.281
291797.243184876,296.333
291797.445190206,313.649
291797.647171662,274.363
291797.849173787,242.947
291798.051112035,257.218
291798.253093732,236.065
291798.455037859,218.67
