timestamp,power_w
2081865.3223989,137.607
2081865.522496203,126.619
2081865.722584335,126.619
2081865.927872784,103.418
2081866.128013757,103.418
2081866.339054194,103.418
2081866.539253818,87.31
2081866.73940115,87.31
2081866.939519163,109.869
2081867.140021057,109.869
2081867.34011995,109.869
2081867.540236794,132.799
2081867.740371941,132.799
2081867.940501737,138.978
2081868.140629253,138.978
2081868.34074443,138.978
2081868.540925207,138.906
2081868.741062163,138.906
2081868.94116882,137.567
2081869.141280096,137.567
2081869.341411122,137.567
2081869.541518309,137.095
2081869.741645975,137.095
2081869.941744562,137.701
2081870.141867448,137.701
2081870.341988775,137.701
2081870.542098521,138.397
2081870.742202458,138.397
2081870.942303234,138.14
2081871.14241655,138.14
2081871.34254827,138.14
2081871.542662728,137.381
2081871.742780225,137.381
2081871.942901032,138.083
2081872.143019849,138.083
2081872.343130006,138.083
2081872.543240542,138.725
2081872.743354399,138.725
2081872.943460256,138.974
2081873.143797014,138.974
2081873.344129551,138.974
2081873.544267048,139.138
2081873.744405715,139.138
2081873.944526652,138.796
2081874.144646109,138.796
2081874.344771955,138.796
2081874.544904732,137.676
2081874.745039319,137.676
2081874.945378327,137.314
2081875.145501034,137.314
2081875.34561721,137.314
2081875.545747037,137.328
2081875.746125844,137.328
2081875.94624334,137.765
2081876.146373287,137.765
2081876.346483144,137.765
2081876.54659878,137.818
2081876.746711727,137.818
2081876.946832953,137.863
2081877.14694775,137.863
2081877.347064636,137.863
2081877.547172723,138.134
2081877.74729013,138.134
2081877.947396006,138.478
2081878.147662613,138.478
2081878.34777659,138.478
2081878.547896856,138.682
2081878.748025263,138.682
2081878.94815521,139.108
2081879.148284096,139.108
2081879.348415783,139.108
2081879.548539669,138.723
2081879.748682044,138.723
2081879.948797527,137.696
2081880.148910111,137.696
2081880.349047734,137.696
2081880.549195648,136.892
2081880.749310281,136.892
2081880.949433445,137.201
2081881.149538739,137.201
2081881.349652972,137.201
2081881.549767806,137.959
2081881.749866709,137.959
2081881.949978613,137.911
2081882.150122286,137.911
2081882.3502412,137.911
2081882.550355703,137.752
2081882.750464897,137.752
2081882.95060996,138.227
2081883.150766334,138.227
2081883.350880268,138.227
2081883.550990351,138.571
2081883.751330674,138.571
2081883.951450785,138.619
2081884.151563356,138.619
2081884.351680357,138.619
2081884.552022709,139.053
2081884.75214272,139.053
2081884.952257151,139.161
2081885.152370942,139.161
2081885.352493303,139.161
2081885.552619184,138.72
2081885.752737995,138.72
2081885.952876256,137.917
2081886.153026427,137.917
2081886.353145768,137.917
2081886.553271839,137.789
2081886.75338418,137.789
2081886.953506631,137.821
2081887.153637872,137.821
2081887.353777023,137.821
2081887.553881594,137.864
2081887.753997434,137.864
2081887.954132354,138.121
2081888.154311864,138.121
2081888.354432534,138.121
2081888.554550344,138.239
2081888.754678833,138.239
2081888.954808963,138.689
2081889.154921843,138.689
2081889.355043573,138.689
2081889.555159063,138.535
2081889.755275503,138.535
2081889.955411992,138.525
2081890.155530452,138.525
2081890.355655612,138.525
2081890.555755472,139.031
2081890.755898912,139.031
2081890.956031982,138.615
2081891.156143701,138.615
2081891.356280561,138.615
2081891.556430981,137.225
2081891.75654227,137.225
2081891.956658511,137.153
2081892.156800403,137.153
2081892.356932364,137.153
2081892.557034246,138.084
2081892.757141998,138.084
2081892.957261559,138.398
2081893.157377021,138.398
2081893.357490882,138.398
2081893.557607634,138.086
2081893.757730775,138.086
2081893.957866227,138.203
2081894.157980918,138.203
2081894.35810352,138.203
2081894.558223411,138.337
2081894.758366018,138.337
2081894.958473307,138.463
2081895.158587237,138.463
2081895.358694086,138.463
2081895.559044016,138.596
2081895.759186535,138.596
2081895.959289609,139.401
2081896.159406914,139.401
2081896.359748541,139.401
2081896.559919537,139.054
2081896.760044592,139.054
2081896.960158082,138.39
2081897.160278868,138.39
2081897.360399775,138.39
2081897.560536842,137.801
2081897.760655758,137.801
2081897.960784935,137.624
2081898.160897092,137.624
2081898.361025698,137.624
2081898.561143425,138.419
2081898.761482942,138.419
2081898.961624129,137.972
2081899.161736426,137.972
2081899.361850243,137.972
2081899.56220403,138.272
2081899.762340997,138.272
2081899.962469804,138.416
2081900.162802165,138.416
2081900.362926206,138.416
2081900.563065657,139.148
2081900.763191548,139.148
2081900.963311428,138.906
2081901.163415279,138.906
2081901.363534229,138.906
2081901.56365502,138.654
2081901.763776521,138.654
2081901.963896112,138.574
2081902.164029192,138.574
2081902.364157013,138.574
2081902.564313674,137.883
2081902.764429924,137.883
2081902.964546725,137.754
2081903.16468118,137.754
2081903.364800341,137.754
2081903.564915381,137.958
2081903.765035802,137.958
2081903.965157714,137.486
2081904.165279449,137.486
2081904.365397253,137.486
2081904.565559347,137.946
2081904.765903362,137.946
2081904.966021936,138.514
2081905.1661423,138.514
2081905.366259654,138.514
2081905.566384888,137.995
2081905.766495243,137.995
2081905.966613557,138.363
2081906.166954121,138.363
2081906.367076826,138.363
2081906.56723396,138.66
2081906.767368464,138.66
2081906.967522678,139.024
2081907.167874303,139.024
2081907.368046157,139.024
2081907.568174292,139.131
2081907.768306216,139.131
2081907.968455886,137.818
2081908.168580715,137.818
2081908.368694244,137.818
2081908.568814643,137.749
2081908.768928592,137.749
2081908.969042241,138.429
2081909.169157459,138.429
2081909.369276088,138.429
2081909.569393107,137.771
2081909.769523766,137.771
2081909.969652595,137.983
2081910.169796504,137.983
2081910.369931381,137.983
2081910.570053464,138.148
2081910.770180336,138.148
2081910.970288658,138.472
2081911.170398081,138.472
2081911.370514723,138.472
2081911.570646585,138.273
2081911.770779238,138.273
2081911.970895686,138.508
2081912.171022015,138.508
2081912.371194994,138.508
2081912.571325673,138.784
2081912.771438392,138.784
2081912.971556131,138.902
2081913.17167588,138.902
2081913.371794839,138.902
2081913.571931238,138.434
2081913.772275848,138.434
2081913.972401413,137.898
2081914.172503455,137.898
2081914.372620707,137.898
2081914.572748708,138.497
2081914.77288052,138.497
2081914.972987682,138.488
2081915.173106604,138.488
2081915.373231196,138.488
2081915.573375437,138.416
2081915.77372643,138.416
2081915.973854524,138.487
2081916.173973914,138.487
2081916.374105884,138.487
2081916.574230944,138.867
2081916.774349284,138.867
2081916.974486854,138.659
2081917.174626904,138.659
2081917.374766714,138.659
2081917.574896514,139.276
2081917.775018384,139.276
2081917.975139284,139.14
2081918.175274894,139.14
2081918.375389764,139.14
2081918.575518164,138.884
2081918.775630684,138.884
2081918.975980764,138.157
2081919.176130344,138.157
2081919.376272414,138.157
2081919.576388654,138.076
2081919.776514284,138.076
2081919.976653173,138.348
2081920.176918771,138.348
2081920.377162138,138.348
2081920.577288566,137.749
2081920.777419033,137.749
2081920.9775357,137.178
2081921.177655167,137.178
2081921.377772835,137.178
2081921.577892222,138.408
2081921.778025359,138.408
2081921.978148427,138.615
2081922.178267964,138.615
2081922.378390951,138.615
2081922.578500718,138.202
2081922.778628386,138.202
2081922.978741153,138.572
2081923.17893502,138.572
2081923.379069988,138.572
2081923.579196535,138.801
2081923.779317102,138.801
2081923.979432739,138.162
2081924.179557757,138.162
2081924.37968574,138.162
2081924.579812782,138.078
2081924.779936675,138.078
2081924.980059608,137.796
2081925.180208561,137.796
2081925.380330294,137.796
2081925.580455637,138.273
2081925.78057805,138.273
2081925.980683773,138.156
2081926.180847466,138.156
2081926.380972289,138.156
2081926.581118162,137.65
2081926.781251585,137.65
2081926.981401998,137.929
2081927.181523585,137.929
2081927.381873541,137.929
2081927.581986097,138.36
2081927.782112752,138.36
2081927.982463679,138.58
2081928.182603917,138.58
2081928.382958832,138.58
2081928.583116966,138.523
2081928.78345397,138.523
2081928.983571714,139.12
2081929.18367685,139.12
2081929.383818727,139.12
2081929.583950483,139.083
2081929.78406957,139.083
2081929.984198756,138.798
2081930.184339483,138.798
2081930.384493989,138.798
2081930.584610576,137.785
